,,,,,,,,,,,,,,,,,,,,,,,,,
,,Device history data,,,,,,,,,,,,,,,,,,,,,,,
,Device,TMM 12026-3 I   HBC-SERIES,,,,,,,,,,,,,,,,,,,,,,,
,Type,HBC-Series,,,,,,,,,,,,,,,,,,,,,,,
,Firmware,5.75,,,,,,,,,,,,,,,,,,,,,,,
,Serial number,52FF6D066571525319151687,,,,,,,,,,,,,,,,,,,,,,,
,Created,"27/02/2024, 12:22",,MGM ProTool v3.5.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Input voltage,Input current,Motor revolutions WRONG ,Motor revolutions,Controller temperature,Peak current,Battery internal voltage,Main bus voltage,Input request,Incoming power,Cruising speed (car),Motor temperature,Battery temperature,Output power,Automatic regulation,I*T fuse,Low voltage,High current,ESC overheated,Motor overheated,Battery overheated,HW current fuse,HW overvoltage/undervoltage,Pulse current
,,[V],[A],[x100rpm],[x100rpm],[°C],[A],[V],[V],[%],[W],[km/h],[°C],[°C],[%],,,,,,,,,,[A]
,36s,12.814,86.6,98.2,137.48,34,150,15.286,10.318,91.176,1110,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,95.9
,36s 100ms,12.849,87.1,98.2,137.48,34,153,15.408,10.318,91.176,1120,92.3,16,0,91.176,0,0,0,0,0,0,0,0,0,96.4
,36s 200ms,12.831,88.2,98.5,137.9,32,152,15.129,10.318,91.176,1140,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,97.6
,36s 300ms,12.831,88,98.7,138.18,32,150,15.356,10.318,91.176,1130,92.7,16,0,91.176,0,0,0,0,0,0,0,0,0,97.4
,36s 400ms,12.796,88.2,98.5,137.9,33,153,15.164,10.318,91.176,1130,92.5,16,0,91.176,0,0,0,0,0,0,0,0,0,97.6
,36s 500ms,12.727,84.6,98.2,137.48,34,153,15.182,10.364,90.196,1080,92.3,16,0,90.196,0,0,0,0,0,0,0,0,0,94.7
,36s 600ms,13.11,83.5,97.8,136.92,34,144,15.216,10.318,89.216,1100,91.9,16,0,89.216,0,0,0,0,0,0,0,0,0,94.5
,36s 700ms,13.145,80.7,96.9,135.66,35,153,15.269,10.318,88.235,1060,91,16,0,88.235,0,0,0,0,0,0,0,0,0,92.3
,36s 800ms,13.058,80.1,96.7,135.38,35,147,15.269,10.318,87.255,1050,90.8,16,0,87.255,0,0,0,0,0,0,0,0,0,92.7
,36s 900ms,13.04,79.4,96.5,135.1,35,156,15.303,10.318,87.255,1040,90.7,16,0,87.255,0,0,0,0,0,0,0,0,0,91.8
,37s,13.092,79.1,96,134.4,33,153,15.303,10.318,86.275,1040,90.2,16,0,86.275,0,0,0,0,0,0,0,0,0,92.5
,37s 100ms,13.179,77.1,95.4,133.56,33,151,15.269,10.364,85.294,1020,89.6,16,0,85.294,0,0,0,0,0,0,0,0,0,91.2
,37s 200ms,13.162,75.5,95,133,34,155,15.199,10.318,84.314,1000,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.4
,37s 300ms,13.249,75.5,94.8,132.72,34,147,15.321,10.318,84.314,1000,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,90.4
,37s 400ms,13.249,74,94.6,132.44,35,146,15.286,10.318,84.314,980,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,88.6
,37s 500ms,13.388,74,94.8,132.72,35,144,15.147,10.318,84.314,990,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,88.6
,37s 600ms,13.145,74.2,94.6,132.44,35,148,15.251,10.318,84.314,980,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,88.8
,37s 700ms,13.214,74.9,94.6,132.44,35,154,15.234,10.364,84.314,990,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,89.7
,37s 800ms,13.232,75.8,94.6,132.44,34,148,15.269,10.364,84.314,1010,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,90.7
,37s 900ms,13.388,74.7,94.6,132.44,34,149,15.408,10.318,84.314,1000,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,89.4
,38s,13.162,75.3,94.6,132.44,33,141,15.251,10.318,84.314,990,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,90.1
,38s 100ms,13.266,75.5,94.8,132.72,33,148,15.321,10.318,84.314,1000,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,90.4
,38s 200ms,13.301,75.7,94.8,132.72,34,152,15.321,10.318,84.314,1010,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,90.6
,38s 300ms,13.023,75.8,95,133,36,144,15.251,10.318,84.314,990,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.7
,38s 400ms,13.162,75,95,133,36,148,15.373,10.364,84.314,990,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,89.8
,38s 500ms,13.11,75.6,95,133,35,151,15.425,10.318,84.314,990,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.5
,38s 600ms,13.214,76,95.2,133.28,34,147,15.303,10.364,84.314,1010,89.4,16,0,84.314,0,0,0,0,0,0,0,0,0,91
,38s 700ms,13.266,75.8,95,133,34,153,15.234,10.364,84.314,1010,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.7
,38s 800ms,13.232,75.4,95,133,36,150,15.443,10.318,84.314,1000,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.3
,38s 900ms,13.388,75.2,95.4,133.56,36,149,15.321,10.318,84.314,1010,89.6,16,0,84.314,0,0,0,0,0,0,0,0,0,90
,39s,13.388,75.9,95.2,133.28,35,153,15.303,10.318,84.314,1020,89.4,16,0,84.314,0,0,0,0,0,0,0,0,0,90.9
,39s 100ms,13.266,75.6,95,133,35,145,15.234,10.318,84.314,1010,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.5
,39s 200ms,13.249,76.5,95,133,35,152,15.495,10.318,84.314,1020,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,91.6
,39s 300ms,13.232,75.2,95.2,133.28,36,153,15.512,10.318,84.314,1000,89.4,16,0,84.314,0,0,0,0,0,0,0,0,0,90
,39s 400ms,13.197,76.3,95,133,36,153,15.303,10.364,84.314,1010,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,91.3
,39s 500ms,13.214,75.2,95.4,133.56,36,154,15.182,10.364,84.314,1000,89.6,16,0,84.314,0,0,0,0,0,0,0,0,0,90
,39s 600ms,13.249,75.8,95,133,35,154,15.251,10.364,84.314,1010,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.7
,39s 700ms,13.232,76.3,95,133,35,148,15.321,10.318,84.314,1010,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,91.3
,39s 800ms,13.214,77.4,94.8,132.72,35,152,15.216,10.318,84.314,1030,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.7
,39s 900ms,13.145,78,95.2,133.28,34,154,15.234,10.364,84.314,1030,89.4,16,0,84.314,0,0,0,0,0,0,0,0,0,93.4
,40s,13.075,76.1,95.2,133.28,37,157,15.321,10.318,84.314,1000,89.4,16,0,84.314,0,0,0,0,0,0,0,0,0,91.1
,40s 100ms,13.179,75,95,133,36,152,15.234,10.364,84.314,990,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,89.8
,40s 200ms,13.232,76.3,94.8,132.72,35,155,15.234,10.318,84.314,1010,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,91.3
,40s 300ms,13.11,78.2,94.8,132.72,34,151,15.356,10.318,84.314,1030,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,93.6
,40s 400ms,13.058,76.3,95,133,35,149,15.338,10.318,84.314,1000,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,91.3
,40s 500ms,13.214,76.7,95,133,32,153,15.338,10.318,84.314,1020,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,91.8
,40s 600ms,13.232,77.5,94.8,132.72,34,149,15.408,10.364,84.314,1030,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.8
,40s 700ms,13.197,77.5,94.8,132.72,33,151,15.269,10.318,84.314,1030,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.8
,40s 800ms,13.058,76.9,94.8,132.72,33,156,15.338,10.318,84.314,1010,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.1
,40s 900ms,13.092,76.1,94.8,132.72,36,151,15.321,10.318,84.314,1000,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,91.1
,41s,13.214,76.7,94.8,132.72,36,148,15.321,10.318,84.314,1020,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,91.8
,41s 100ms,13.649,77.9,95,133,36,154,15.652,10.318,84.314,1070,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,93.2
,41s 200ms,13.336,77.9,94.8,132.72,35,148,15.234,10.318,84.314,1040,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,93.2
,41s 300ms,13.075,77.5,94.8,132.72,36,154,15.495,10.318,84.314,1020,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.8
,41s 400ms,13.145,76.9,95,133,32,145,15.373,10.364,84.314,1010,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,92.1
,41s 500ms,13.197,77.1,94.8,132.72,31,153,15.338,10.364,84.314,1020,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.3
,41s 600ms,13.197,75.8,95,133,36,149,15.373,10.364,84.314,1000,89.3,16,0,84.314,0,0,0,0,0,0,0,0,0,90.7
,41s 700ms,13.162,77.4,94.8,132.72,36,152,15.216,10.364,84.314,1020,89.1,16,0,84.314,0,0,0,0,0,0,0,0,0,92.7
,41s 800ms,13.214,77.4,94.8,132.72,36,152,15.286,10.318,84.314,1030,89.1,17,0,84.314,0,0,0,0,0,0,0,0,0,92.7
,41s 900ms,13.127,76.7,94.8,132.72,36,151,15.251,10.364,84.314,1010,89.1,17,0,84.314,0,0,0,0,0,0,0,0,0,91.8
,42s,13.179,79.8,95,133,36,153,15.338,10.364,84.314,1050,89.3,17,0,84.314,0,0,0,0,0,0,0,0,0,95.5
,42s 100ms,13.214,77,95,133,36,150,15.199,10.318,84.314,1020,89.3,17,0,84.314,0,0,0,0,0,0,0,0,0,92.2
,42s 200ms,13.179,76.7,94.8,132.72,37,151,15.39,10.364,84.314,1010,89.1,18,0,84.314,0,0,0,0,0,0,0,0,0,91.8
,42s 300ms,13.371,76.1,95.4,133.56,37,155,15.303,10.364,84.314,1020,89.6,18,0,84.314,0,0,0,0,0,0,0,0,0,91.1
,42s 400ms,13.04,76.5,95,133,37,161,15.321,10.318,84.314,1000,89.3,18,0,84.314,0,0,0,0,0,0,0,0,0,91.6
,42s 500ms,13.301,75.8,94.6,132.44,35,139,15.46,10.364,84.314,1010,88.9,16,0,84.314,0,0,0,0,0,0,0,0,0,90.7
,42s 600ms,13.197,75.6,94.6,132.44,35,146,15.477,10.364,83.333,1000,88.9,16,0,83.333,0,0,0,0,0,0,0,0,0,91.6
,42s 700ms,13.284,74.5,94.1,131.74,36,160,15.251,10.318,83.333,990,88.4,16,0,83.333,0,0,0,0,0,0,0,0,0,90.2
,42s 800ms,13.319,73.3,93.9,131.46,37,144,15.321,10.364,82.353,980,88.2,16,0,82.353,0,0,0,0,0,0,0,0,0,89.8
,42s 900ms,13.336,71.9,93.1,130.34,33,151,15.39,10.364,81.373,960,87.5,16,0,81.373,0,0,0,0,0,0,0,0,0,89.2
,43s,13.475,70.5,92.5,129.5,32,145,15.443,10.364,80.392,950,86.9,16,0,80.392,0,0,0,0,0,0,0,0,0,88.5
,43s 100ms,13.423,68,91.7,128.38,32,139,15.425,10.318,79.412,910,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,86.4
,43s 200ms,13.441,66.6,91.7,128.38,37,134,15.303,10.364,79.412,900,86.1,17,0,79.412,0,0,0,0,0,0,0,0,0,84.6
,43s 300ms,13.528,67.1,91.5,128.1,38,133,15.373,10.318,79.412,910,86,17,0,79.412,0,0,0,0,0,0,0,0,0,85.3
,43s 400ms,13.51,67.5,91.3,127.82,34,135,15.251,10.364,79.412,910,85.8,17,0,79.412,0,0,0,0,0,0,0,0,0,85.8
,43s 500ms,13.702,67.5,91.5,128.1,33,134,15.321,10.318,79.412,930,86,16,0,79.412,0,0,0,0,0,0,0,0,0,85.8
,43s 600ms,13.493,69.2,91.5,128.1,38,139,17.114,10.318,79.412,940,86,16,0,79.412,0,0,0,0,0,0,0,0,0,87.9
,43s 700ms,13.528,68,91.5,128.1,37,139,15.39,10.318,79.412,920,86,16,0,79.412,0,0,0,0,0,0,0,0,0,86.4
,43s 800ms,13.51,67.6,91.5,128.1,37,136,15.216,10.318,79.412,920,86,16,0,79.412,0,0,0,0,0,0,0,0,0,85.9
,43s 900ms,13.667,67.6,92.1,128.94,38,134,15.373,10.318,79.412,930,86.5,16,0,79.412,0,0,0,0,0,0,0,0,0,85.9
,44s,13.649,66.9,91.9,128.66,38,140,15.251,10.318,79.412,920,86.3,16,0,79.412,0,0,0,0,0,0,0,0,0,85
,44s 100ms,13.51,67.5,91.7,128.38,39,133,15.338,10.364,79.412,910,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,85.8
,44s 200ms,13.51,68,92.1,128.94,38,142,15.303,10.318,79.412,920,86.5,16,0,79.412,0,0,0,0,0,0,0,0,0,86.4
,44s 300ms,13.475,68.4,91.5,128.1,38,142,15.443,10.364,79.412,920,86,16,0,79.412,0,0,0,0,0,0,0,0,0,86.9
,44s 400ms,13.388,67.6,91.9,128.66,38,133,15.408,10.318,79.412,910,86.3,16,0,79.412,0,0,0,0,0,0,0,0,0,85.9
,44s 500ms,13.51,68.7,91.7,128.38,38,140,15.251,10.318,79.412,930,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,87.3
,44s 600ms,13.493,68,92.1,128.94,38,141,15.425,10.318,79.412,920,86.5,16,0,79.412,0,0,0,0,0,0,0,0,0,86.4
,44s 700ms,13.719,66.9,91.9,128.66,37,139,15.39,10.318,79.412,920,86.3,16,0,79.412,0,0,0,0,0,0,0,0,0,85
,44s 800ms,13.545,67.3,91.7,128.38,36,140,15.356,10.318,79.412,910,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,85.5
,44s 900ms,13.493,68.2,91.7,128.38,37,137,15.39,10.318,79.412,920,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,86.7
,45s,15.617,69.3,91.7,128.38,37,137,15.373,10.364,79.412,1090,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,88.1
,45s 100ms,13.406,67.8,92.1,128.94,36,140,15.373,10.318,79.412,910,86.5,16,0,79.412,0,0,0,0,0,0,0,0,0,86.2
,45s 200ms,13.545,67.8,91.7,128.38,36,140,15.356,10.318,79.412,920,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,86.2
,45s 300ms,13.528,68.5,91.7,128.38,36,134,15.321,10.364,79.412,930,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,87.1
,45s 400ms,13.545,69.3,91.3,127.82,37,148,15.338,10.409,79.412,940,85.8,16,0,79.412,0,0,0,0,0,0,0,0,0,88.1
,45s 500ms,13.632,69.8,91.3,127.82,33,142,15.39,10.318,79.412,950,85.8,16,0,79.412,0,0,0,0,0,0,0,0,0,88.7
,45s 600ms,13.458,70,91.5,128.1,34,139,15.582,10.318,79.412,940,86,16,0,79.412,0,0,0,0,0,0,0,0,0,89
,45s 700ms,13.545,69.3,91.5,128.1,37,141,15.599,10.364,79.412,940,86,16,0,79.412,0,0,0,0,0,0,0,0,0,88.1
,45s 800ms,13.806,68,91.5,128.1,37,141,15.338,10.318,79.412,940,86,16,0,79.412,0,0,0,0,0,0,0,0,0,86.4
,45s 900ms,13.458,70,91.5,128.1,37,136,15.53,10.318,79.412,940,86,16,0,79.412,0,0,0,0,0,0,0,0,0,89
,46s,13.319,68.9,91.3,127.82,37,133,15.39,10.318,79.412,920,85.8,16,0,79.412,0,0,0,0,0,0,0,0,0,87.6
,46s 100ms,13.528,68.2,91.5,128.1,38,139,15.356,10.318,79.412,920,86,16,0,79.412,0,0,0,0,0,0,0,0,0,86.7
,46s 200ms,13.51,68.9,91.5,128.1,37,144,15.408,10.318,79.412,930,86,18,0,79.412,0,0,0,0,0,0,0,0,0,87.6
,46s 300ms,13.493,69.3,92.1,128.94,37,139,15.565,10.318,79.412,940,86.5,18,0,79.412,0,0,0,0,0,0,0,0,0,88.1
,46s 400ms,13.475,69.5,91.7,128.38,37,140,15.269,10.318,79.412,940,86.1,18,0,79.412,0,0,0,0,0,0,0,0,0,88.3
,46s 500ms,13.441,68.5,91.5,128.1,38,140,15.39,10.364,79.412,920,86,18,0,79.412,0,0,0,0,0,0,0,0,0,87.1
,46s 600ms,13.319,68.5,91.3,127.82,39,142,15.477,10.318,79.412,910,85.8,18,0,79.412,0,0,0,0,0,0,0,0,0,87.1
,46s 700ms,13.51,68.9,91.9,128.66,39,152,15.408,10.318,79.412,930,86.3,18,0,79.412,0,0,0,0,0,0,0,0,0,87.6
,46s 800ms,13.51,69.1,91.9,128.66,39,144,15.477,10.318,79.412,940,86.3,18,0,79.412,0,0,0,0,0,0,0,0,0,87.8
,46s 900ms,13.475,70.2,91.7,128.38,39,138,15.408,10.318,79.412,950,86.1,16,0,79.412,0,0,0,0,0,0,0,0,0,89.2
,47s,13.371,68.7,92.1,128.94,40,133,15.39,10.364,79.412,920,86.5,16,0,79.412,0,0,0,0,0,0,0,0,0,87.3
,47s 100ms,13.528,67.6,91.3,127.82,39,138,15.39,10.364,78.431,920,85.8,16,0,78.431,0,0,0,0,0,0,0,0,0,87
,47s 200ms,13.58,66.6,90.6,126.84,39,145,15.547,10.318,77.451,910,85.1,16,0,77.451,0,0,0,0,0,0,0,0,0,86.8
,47s 300ms,13.545,65.1,90.4,126.56,37,143,15.321,10.318,77.451,880,84.9,16,0,77.451,0,0,0,0,0,0,0,0,0,84.8
,47s 400ms,13.51,64.6,90.2,126.28,38,139,15.547,10.318,77.451,870,84.7,16,0,77.451,0,0,0,0,0,0,0,0,0,84.2
,47s 500ms,13.615,64.8,90,126,38,139,15.425,10.318,76.471,880,84.6,16,0,76.471,0,0,0,0,0,0,0,0,0,85.5
,47s 600ms,13.876,64.3,90,126,38,136,15.321,10.318,76.471,890,84.6,16,0,76.471,0,0,0,0,0,0,0,0,0,84.9
,47s 700ms,13.667,62.8,89.8,125.72,39,131,15.443,10.318,76.471,860,84.4,16,0,76.471,0,0,0,0,0,0,0,0,0,82.9
,47s 800ms,13.702,61.9,89.8,125.72,40,139,15.443,10.364,75.49,850,84.4,16,0,75.49,0,0,0,0,0,0,0,0,0,82.8
,47s 900ms,13.754,62.8,89.6,125.44,39,137,15.408,10.318,75.49,870,84.2,16,0,75.49,0,0,0,0,0,0,0,0,0,84
,48s,13.684,60.5,89.1,124.74,39,148,15.565,10.318,75.49,830,83.7,16,0,75.49,0,0,0,0,0,0,0,0,0,80.9
,48s 100ms,13.806,59.8,88.7,124.18,39,135,15.477,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81
,48s 200ms,13.789,60,88.7,124.18,39,134,15.477,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81.3
,48s 300ms,13.771,60,88.7,124.18,39,137,15.356,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81.3
,48s 400ms,13.702,60.1,88.9,124.46,39,133,15.582,10.318,74.51,820,83.5,16,0,74.51,0,0,0,0,0,0,0,0,0,81.4
,48s 500ms,13.806,59.4,89.1,124.74,38,131,15.495,10.318,74.51,820,83.7,17,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,48s 600ms,13.806,59.4,88.5,123.9,38,135,15.443,10.318,74.51,820,83.1,17,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,48s 700ms,13.824,61,88.5,123.9,38,134,15.321,10.318,74.51,840,83.1,17,0,74.51,0,0,0,0,0,0,0,0,0,82.6
,48s 800ms,13.771,60,88.5,123.9,38,130,15.477,10.318,74.51,830,83.1,17,0,74.51,0,0,0,0,0,0,0,0,0,81.3
,48s 900ms,13.771,59.4,88.5,123.9,38,129,15.634,10.318,74.51,820,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,49s,13.754,60.5,88.5,123.9,38,133,15.477,10.318,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.9
,49s 100ms,13.963,59.8,88.5,123.9,39,128,15.443,10.318,74.51,840,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81
,49s 200ms,13.667,60.7,88.9,124.46,38,135,15.495,10.318,74.51,830,83.5,16,0,74.51,0,0,0,0,0,0,0,0,0,82.2
,49s 300ms,13.789,59.6,88.5,123.9,38,134,15.425,10.318,74.51,820,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,80.7
,49s 400ms,13.702,60.3,88.5,123.9,39,127,15.512,10.318,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.7
,49s 500ms,13.841,59.4,88.5,123.9,39,138,15.512,10.318,74.51,820,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,49s 600ms,13.789,61.6,88.5,123.9,39,134,15.373,10.318,74.51,850,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,83.4
,49s 700ms,13.963,59.5,88.7,124.18,40,127,15.477,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,80.6
,49s 800ms,13.771,59.7,88.5,123.9,41,133,15.408,10.318,74.51,820,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,80.9
,49s 900ms,13.928,59,89.1,124.74,40,128,15.582,10.318,74.51,820,83.7,16,0,74.51,0,0,0,0,0,0,0,0,0,79.9
,50s,13.945,60.7,88.5,123.9,40,135,15.46,10.318,74.51,850,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,82.2
,50s 100ms,13.754,60.5,88.5,123.9,39,131,15.408,10.364,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.9
,50s 200ms,13.789,60.9,88.5,123.9,40,128,15.425,10.318,74.51,840,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,82.5
,50s 300ms,13.963,59.6,89.1,124.74,40,136,15.356,10.318,74.51,830,83.7,16,0,74.51,0,0,0,0,0,0,0,0,0,80.7
,50s 400ms,13.736,60.1,88.5,123.9,37,129,15.495,10.364,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.4
,50s 500ms,13.824,61.2,88.9,124.46,37,135,15.46,10.318,74.51,850,83.5,16,0,74.51,0,0,0,0,0,0,0,0,0,82.9
,50s 600ms,13.928,61,88.5,123.9,36,134,15.477,10.318,74.51,850,83.1,17,0,74.51,0,0,0,0,0,0,0,0,0,82.6
,50s 700ms,13.789,60.7,88.5,123.9,39,135,15.408,10.364,74.51,840,83.1,17,0,74.51,0,0,0,0,0,0,0,0,0,82.2
,50s 800ms,13.754,59.8,88.3,123.62,38,135,15.46,10.364,74.51,820,83,17,0,74.51,0,0,0,0,0,0,0,0,0,81
,50s 900ms,13.824,60.1,88.5,123.9,39,134,15.443,10.318,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.4
,51s,13.806,59.7,88.5,123.9,40,145,15.495,10.364,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,80.9
,51s 100ms,13.806,59.4,88.7,124.18,40,133,15.338,10.318,74.51,820,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,51s 200ms,13.806,60.4,88.5,123.9,40,135,15.321,10.318,74.51,840,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.8
,51s 300ms,13.806,59.9,88.5,123.9,41,135,15.443,10.318,74.51,830,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,81.1
,51s 400ms,13.719,59.4,88.7,124.18,41,135,15.617,10.318,74.51,820,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,51s 500ms,13.789,58.6,88.5,123.9,40,135,15.443,10.318,74.51,810,83.1,16,0,74.51,0,0,0,0,0,0,0,0,0,79.4
,51s 600ms,13.684,60.3,88.7,124.18,39,150,15.443,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81.7
,51s 700ms,13.841,59.4,88.7,124.18,40,149,15.477,10.318,74.51,820,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,51s 800ms,13.998,60.3,88.7,124.18,41,134,15.686,10.318,74.51,850,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81.7
,51s 900ms,13.841,59.4,89.1,124.74,41,135,15.356,10.364,74.51,820,83.7,16,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,52s,13.754,60.3,88.7,124.18,41,137,15.512,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81.7
,52s 100ms,13.824,59,88.7,124.18,41,146,15.338,10.318,74.51,820,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,79.9
,52s 200ms,13.824,60.4,89.1,124.74,40,136,15.408,10.364,74.51,840,83.7,17,0,74.51,0,0,0,0,0,0,0,0,0,81.8
,52s 300ms,13.806,59.4,88.7,124.18,40,136,15.425,10.318,74.51,820,83.3,17,0,74.51,0,0,0,0,0,0,0,0,0,80.5
,52s 400ms,13.841,61.2,88.5,123.9,40,132,15.408,10.318,74.51,850,83.1,17,0,74.51,0,0,0,0,0,0,0,0,0,82.9
,52s 500ms,13.824,60.5,88.7,124.18,37,135,15.408,10.318,74.51,840,83.3,17,0,74.51,0,0,0,0,0,0,0,0,0,81.9
,52s 600ms,13.789,60.3,88.7,124.18,38,128,15.46,10.318,74.51,830,83.3,16,0,74.51,0,0,0,0,0,0,0,0,0,81.7
,52s 700ms,13.858,60,88.3,123.62,40,128,15.495,10.318,74.51,830,83,16,0,74.51,0,0,0,0,0,0,0,0,0,81.3
,52s 800ms,14.015,58.2,88.5,123.9,40,134,15.495,10.318,73.529,820,83.1,16,0,73.529,0,0,0,0,0,0,0,0,0,79.9
,52s 900ms,13.824,55,87.2,122.08,41,125,15.425,10.318,71.569,760,81.9,16,0,71.569,0,0,0,0,0,0,0,0,0,77.6
,53s,14.085,53.3,86.4,120.96,41,127,15.443,10.364,70.588,750,81.2,16,0,70.588,0,0,0,0,0,0,0,0,0,76.2
,53s 100ms,14.085,51.4,85.2,119.28,40,127,15.425,10.318,68.627,720,80,16,0,68.627,0,0,0,0,0,0,0,0,0,75.6
,53s 200ms,14.085,49.2,84.1,117.74,41,121,15.477,10.318,67.647,690,79,17,0,67.647,0,0,0,0,0,0,0,0,0,73.4
,53s 300ms,14.207,48.6,83.7,117.18,42,127,15.495,10.318,67.647,690,78.6,17,0,67.647,0,0,0,0,0,0,0,0,0,72.5
,53s 400ms,14.224,49,83.7,117.18,41,127,15.495,10.364,67.647,700,78.6,17,0,67.647,0,0,0,0,0,0,0,0,0,73.1
,53s 500ms,14.12,49.2,83.2,116.48,40,126,15.512,10.318,67.647,700,78.2,17,0,67.647,0,0,0,0,0,0,0,0,0,73.4
,53s 600ms,14.189,49.5,83.3,116.62,39,128,15.547,10.318,67.647,700,78.3,16,0,67.647,0,0,0,0,0,0,0,0,0,73.8
,53s 700ms,14.189,48.8,83.3,116.62,41,122,15.704,10.318,67.647,690,78.3,16,0,67.647,0,0,0,0,0,0,0,0,0,72.8
,53s 800ms,14.137,48.6,83.8,117.32,41,128,15.547,10.318,67.647,690,78.7,16,0,67.647,0,0,0,0,0,0,0,0,0,72.5
,53s 900ms,14.172,49,83.3,116.62,41,128,15.582,10.318,67.647,690,78.3,17,0,67.647,0,0,0,0,0,0,0,0,0,73.1
