,,,,,,,,,,,,,,,,,,,,,,,,
,,Device history data,,,,,,,,,,,,,,,,,,,,,,
,Device,TMM 12026-3 I   HBC-SERIES,,,,,,,,,,,,,,,,,,,,,,
,Type,HBC-Series,,,,,,,,,,,,,,,,,,,,,,
,Firmware,5.77,,,,,,,,,,,,,,,,,,,,,,
,Serial number,37FF71063043523944312343,,,,,,,,,,,,,,,,,,,,,,
,Created,"16/01/2025, 15:20",,MGM ProTool v3.5.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Input voltage,Input current,Motor revolutions,Controller temperature,BEC voltage,BEC current,BEC temperature,Input request,Incoming power,Cruising speed (car),Motor temperature,Battery temperature,Output power,Automatic regulation,I*T fuse,Low voltage,High current,ESC overheated,Motor overheated,Battery overheated,HW current fuse,HW overvoltage/undervoltage,Pulse current
,,[V],[A],[x100rpm],[°C],[V],[A],[°C],[%],[W],[km/h],[°C],[°C],[%],,,,,,,,,,[A]
,5s 400ms,12.657,111.5,151.5,23,8.508,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,5s 500ms,12.605,112.2,151.8,23,8.515,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.3
,5s 600ms,12.605,111.7,151.8,23,8.508,0,25,100,1410,142.6,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,5s 700ms,12.587,111.7,151.8,23,8.504,0,25,100,1410,142.6,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,5s 800ms,12.587,112.2,151.8,23,8.506,0,25,100,1420,142.6,0,0,100,0,0,0,0,0,0,0,0,0,113.3
,5s 900ms,12.587,112.2,151.5,23,8.511,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,113.3
,6s,12.64,112.1,151.5,24,8.508,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,113.1
,6s 100ms,12.622,111.5,151.5,24,8.515,0,25,100,1410,142.4,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,6s 200ms,12.587,110.8,151.5,24,8.508,0,25,100,1400,142.4,0,0,100,0,0,0,0,0,0,0,0,0,111.8
,6s 300ms,12.605,112.1,151.5,24,8.495,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,113.1
,6s 400ms,12.64,111.9,151.5,24,8.508,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,112.9
,6s 500ms,12.622,111,151.1,24,8.506,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112
,6s 600ms,12.605,111.5,151.5,24,8.504,0,25,100,1410,142.4,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,6s 700ms,12.622,111.9,151.1,24,8.504,0,25,100,1420,142,0,0,100,0,0,0,0,0,0,0,0,0,112.9
,6s 800ms,12.64,111.9,151.5,23,8.502,0,25,100,1420,142.4,0,0,100,0,0,0,0,0,0,0,0,0,112.9
,6s 900ms,12.605,111.7,151.5,23,8.504,0,25,100,1410,142.4,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,7s,12.587,111.7,151.1,24,8.495,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,7s 100ms,12.57,111.5,151.1,24,8.508,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,7s 200ms,12.5,111.7,151.1,23,8.502,0,25,100,1400,142,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,7s 300ms,12.553,112.2,151.1,23,8.497,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,113.3
,7s 400ms,12.587,111.5,151.1,24,8.499,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,7s 500ms,12.622,111.5,151.1,24,8.506,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,7s 600ms,12.605,111.5,151.1,23,8.493,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,7s 700ms,12.605,111.7,151.1,24,8.508,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.7
,7s 800ms,12.553,111.5,151.1,24,8.506,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,7s 900ms,12.64,110.8,151.1,25,8.49,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,111.8
,8s,12.587,111.5,150.7,25,8.486,0,25,100,1410,141.6,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,8s 100ms,12.587,111.4,151.1,25,8.49,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.4
,8s 200ms,12.605,111.5,151.1,25,8.499,0,25,100,1410,142,0,0,100,0,0,0,0,0,0,0,0,0,112.5
,8s 300ms,13.928,61.4,135.1,25,8.529,0,25,84.314,860,126.9,0,0,84.314,0,0,0,0,0,0,0,0,0,73.5
