% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 70.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:25:02 +0000
% Time (s), Channel A (V)
-3.8026560000e-02, -2.1983391372e-02
-3.8020840000e-02, -2.1983391372e-02
-3.8015120000e-02, -1.9540792331e-02
-3.8009400000e-02, -1.9540792331e-02
-3.8003680000e-02, -2.1983391372e-02
-3.7997960000e-02, -2.1983391372e-02
-3.7992240000e-02, -1.9540792331e-02
-3.7986520000e-02, -2.1983391372e-02
-3.7980800000e-02, -2.1983391372e-02
-3.7975080000e-02, -2.1983391372e-02
-3.7969360000e-02, -2.4425990414e-02
-3.7963640000e-02, -2.1983391372e-02
-3.7957920000e-02, -1.9540792331e-02
-3.7952200000e-02, -1.9540792331e-02
-3.7946480000e-02, -2.1983391372e-02
-3.7940760000e-02, -2.1983391372e-02
-3.7935040000e-02, -2.1983391372e-02
-3.7929320000e-02, -2.1983391372e-02
-3.7923600000e-02, -2.4425990414e-02
-3.7917880000e-02, -2.1983391372e-02
-3.7912160000e-02, -2.4425990414e-02
-3.7906440000e-02, -2.1983391372e-02
-3.7900720000e-02, -2.1983391372e-02
-3.7895000000e-02, -2.1983391372e-02
-3.7889280000e-02, -2.1983391372e-02
-3.7883560000e-02, -2.1983391372e-02
-3.7877840000e-02, -2.1983391372e-02
-3.7872120000e-02, -2.1983391372e-02
-3.7866400000e-02, -2.1983391372e-02
-3.7860680000e-02, -2.1983391372e-02
-3.7854960000e-02, -2.1983391372e-02
-3.7849240000e-02, -1.9540792331e-02
-3.7843520000e-02, -2.1983391372e-02
-3.7837800000e-02, -2.1983391372e-02
-3.7832080000e-02, -2.1983391372e-02
-3.7826360000e-02, -2.1983391372e-02
-3.7820640000e-02, -2.1983391372e-02
-3.7814920000e-02, -2.1983391372e-02
-3.7809200000e-02, -2.4425990414e-02
-3.7803480000e-02, -2.1983391372e-02
-3.7797760000e-02, -2.1983391372e-02
-3.7792040000e-02, -2.4425990414e-02
-3.7786320000e-02, -2.4425990414e-02
-3.7780600000e-02, -2.1983391372e-02
-3.7774880000e-02, -2.4425990414e-02
-3.7769160000e-02, -2.1983391372e-02
-3.7763440000e-02, -2.1983391372e-02
-3.7757720000e-02, -2.4425990414e-02
-3.7752000000e-02, -1.9540792331e-02
-3.7746280000e-02, -2.1983391372e-02
-3.7740560000e-02, -2.1983391372e-02
-3.7734840000e-02, -2.4425990414e-02
-3.7729120000e-02, -2.4425990414e-02
-3.7723400000e-02, -2.1983391372e-02
-3.7717680000e-02, -2.4425990414e-02
-3.7711960000e-02, -2.1983391372e-02
-3.7706240000e-02, -2.4425990414e-02
-3.7700520000e-02, -2.1983391372e-02
-3.7694800000e-02, -2.4425990414e-02
-3.7689080000e-02, -2.4425990414e-02
-3.7683360000e-02, -2.1983391372e-02
-3.7677640000e-02, -2.4425990414e-02
-3.7671920000e-02, -2.1983391372e-02
-3.7666200000e-02, -2.4425990414e-02
-3.7660480000e-02, -2.4425990414e-02
-3.7654760000e-02, -2.1983391372e-02
-3.7649040000e-02, -2.1983391372e-02
-3.7643320000e-02, -2.4425990414e-02
-3.7637600000e-02, -2.4425990414e-02
-3.7631880000e-02, -2.1983391372e-02
-3.7626160000e-02, -2.4425990414e-02
-3.7620440000e-02, -2.1983391372e-02
-3.7614720000e-02, -2.4425990414e-02
-3.7609000000e-02, -2.4425990414e-02
-3.7603280000e-02, -2.1983391372e-02
-3.7597560000e-02, -2.4425990414e-02
-3.7591840000e-02, -2.4425990414e-02
-3.7586120000e-02, -2.1983391372e-02
-3.7580400000e-02, -2.4425990414e-02
-3.7574680000e-02, -2.1983391372e-02
-3.7568960000e-02, -2.1983391372e-02
-3.7563240000e-02, -2.4425990414e-02
-3.7557520000e-02, -2.1983391372e-02
-3.7551800000e-02, -2.4425990414e-02
-3.7546080000e-02, -2.4425990414e-02
-3.7540360000e-02, -2.1983391372e-02
-3.7534640000e-02, -2.1983391372e-02
-3.7528920000e-02, -2.4425990414e-02
-3.7523200000e-02, -2.1983391372e-02
-3.7517480000e-02, -2.4425990414e-02
-3.7511760000e-02, -2.4425990414e-02
-3.7506040000e-02, -2.4425990414e-02
-3.7500320000e-02, -2.4425990414e-02
-3.7494600000e-02, -2.4425990414e-02
-3.7488880000e-02, -2.4425990414e-02
-3.7483160000e-02, -2.4425990414e-02
-3.7477440000e-02, -2.4425990414e-02
-3.7471720000e-02, -2.1983391372e-02
-3.7466000000e-02, -2.4425990414e-02
-3.7460280000e-02, -2.1983391372e-02
-3.7454560000e-02, -2.1983391372e-02
-3.7448840000e-02, -2.1983391372e-02
-3.7443120000e-02, -2.1983391372e-02
-3.7437400000e-02, -2.1983391372e-02
-3.7431680000e-02, -2.4425990414e-02
-3.7425960000e-02, -2.4425990414e-02
-3.7420240000e-02, -2.4425990414e-02
-3.7414520000e-02, -2.1983391372e-02
-3.7408800000e-02, -2.4425990414e-02
-3.7403080000e-02, -2.1983391372e-02
-3.7397360000e-02, -2.1983391372e-02
-3.7391640000e-02, -2.4425990414e-02
-3.7385920000e-02, -2.4425990414e-02
-3.7380200000e-02, -2.4425990414e-02
-3.7374480000e-02, -2.1983391372e-02
-3.7368760000e-02, -2.1983391372e-02
-3.7363040000e-02, -2.4425990414e-02
-3.7357320000e-02, -2.6868589455e-02
-3.7351600000e-02, -2.4425990414e-02
-3.7345880000e-02, -2.6868589455e-02
-3.7340160000e-02, -2.4425990414e-02
-3.7334440000e-02, -2.1983391372e-02
-3.7328720000e-02, -2.4425990414e-02
-3.7323000000e-02, -2.1983391372e-02
-3.7317280000e-02, -2.4425990414e-02
-3.7311560000e-02, -2.4425990414e-02
-3.7305840000e-02, -2.4425990414e-02
-3.7300120000e-02, -2.4425990414e-02
-3.7294400000e-02, -2.6868589455e-02
-3.7288680000e-02, -2.4425990414e-02
-3.7282960000e-02, -2.1983391372e-02
-3.7277240000e-02, -2.4425990414e-02
-3.7271520000e-02, -2.1983391372e-02
-3.7265800000e-02, -2.4425990414e-02
-3.7260080000e-02, -2.4425990414e-02
-3.7254360000e-02, -2.4425990414e-02
-3.7248640000e-02, -2.4425990414e-02
-3.7242920000e-02, -2.4425990414e-02
-3.7237200000e-02, -2.4425990414e-02
-3.7231480000e-02, -2.1983391372e-02
-3.7225760000e-02, -2.4425990414e-02
-3.7220040000e-02, -2.1983391372e-02
-3.7214320000e-02, -2.1983391372e-02
-3.7208600000e-02, -2.4425990414e-02
-3.7202880000e-02, -2.1983391372e-02
-3.7197160000e-02, -2.4425990414e-02
-3.7191440000e-02, -2.1983391372e-02
-3.7185720000e-02, -2.4425990414e-02
-3.7180000000e-02, -2.6868589455e-02
-3.7174280000e-02, -2.1983391372e-02
-3.7168560000e-02, -2.1983391372e-02
-3.7162840000e-02, -2.6868589455e-02
-3.7157120000e-02, -2.4425990414e-02
-3.7151400000e-02, -2.4425990414e-02
-3.7145680000e-02, -2.4425990414e-02
-3.7139960000e-02, -2.4425990414e-02
-3.7134240000e-02, -2.6868589455e-02
-3.7128520000e-02, -2.6868589455e-02
-3.7122800000e-02, -2.1983391372e-02
-3.7117080000e-02, -2.1983391372e-02
-3.7111360000e-02, -2.4425990414e-02
-3.7105640000e-02, -2.6868589455e-02
-3.7099920000e-02, -2.4425990414e-02
-3.7094200000e-02, -2.4425990414e-02
-3.7088480000e-02, -2.4425990414e-02
-3.7082760000e-02, -2.4425990414e-02
-3.7077040000e-02, -2.4425990414e-02
-3.7071320000e-02, -2.6868589455e-02
-3.7065600000e-02, -2.4425990414e-02
-3.7059880000e-02, -2.4425990414e-02
-3.7054160000e-02, -2.4425990414e-02
-3.7048440000e-02, -2.4425990414e-02
-3.7042720000e-02, -2.4425990414e-02
-3.7037000000e-02, -2.4425990414e-02
-3.7031280000e-02, -2.4425990414e-02
-3.7025560000e-02, -2.4425990414e-02
-3.7019840000e-02, -2.4425990414e-02
-3.7014120000e-02, -2.4425990414e-02
-3.7008400000e-02, -2.4425990414e-02
-3.7002680000e-02, -2.6868589455e-02
-3.6996960000e-02, -2.6868589455e-02
-3.6991240000e-02, -2.4425990414e-02
-3.6985520000e-02, -2.4425990414e-02
-3.6979800000e-02, -2.4425990414e-02
-3.6974080000e-02, -2.4425990414e-02
-3.6968360000e-02, -2.6868589455e-02
-3.6962640000e-02, -2.4425990414e-02
-3.6956920000e-02, -2.4425990414e-02
-3.6951200000e-02, -2.4425990414e-02
-3.6945480000e-02, -2.6868589455e-02
-3.6939760000e-02, -2.4425990414e-02
-3.6934040000e-02, -2.4425990414e-02
-3.6928320000e-02, -2.4425990414e-02
-3.6922600000e-02, -2.4425990414e-02
-3.6916880000e-02, -2.4425990414e-02
-3.6911160000e-02, -2.4425990414e-02
-3.6905440000e-02, -2.4425990414e-02
-3.6899720000e-02, -2.4425990414e-02
-3.6894000000e-02, -2.6868589455e-02
-3.6888280000e-02, -2.6868589455e-02
-3.6882560000e-02, -2.4425990414e-02
-3.6876840000e-02, -2.6868589455e-02
-3.6871120000e-02, -2.4425990414e-02
-3.6865400000e-02, -2.6868589455e-02
-3.6859680000e-02, -2.6868589455e-02
-3.6853960000e-02, -2.4425990414e-02
-3.6848240000e-02, -2.4425990414e-02
-3.6842520000e-02, -2.6868589455e-02
-3.6836800000e-02, -2.4425990414e-02
-3.6831080000e-02, -2.6868589455e-02
-3.6825360000e-02, -2.4425990414e-02
-3.6819640000e-02, -2.6868589455e-02
-3.6813920000e-02, -2.6868589455e-02
-3.6808200000e-02, -2.4425990414e-02
-3.6802480000e-02, -2.4425990414e-02
-3.6796760000e-02, -2.4425990414e-02
-3.6791040000e-02, -2.6868589455e-02
-3.6785320000e-02, -2.6868589455e-02
-3.6779600000e-02, -2.6868589455e-02
-3.6773880000e-02, -2.4425990414e-02
-3.6768160000e-02, -2.4425990414e-02
-3.6762440000e-02, -2.4425990414e-02
-3.6756720000e-02, -2.6868589455e-02
-3.6751000000e-02, -2.4425990414e-02
-3.6745280000e-02, -2.4425990414e-02
-3.6739560000e-02, -2.4425990414e-02
-3.6733840000e-02, -2.6868589455e-02
-3.6728120000e-02, -2.6868589455e-02
-3.6722400000e-02, -2.6868589455e-02
-3.6716680000e-02, -2.6868589455e-02
-3.6710960000e-02, -2.4425990414e-02
-3.6705240000e-02, -2.6868589455e-02
-3.6699520000e-02, -2.6868589455e-02
-3.6693800000e-02, -2.4425990414e-02
-3.6688080000e-02, -2.6868589455e-02
-3.6682360000e-02, -2.1983391372e-02
-3.6676640000e-02, -2.4425990414e-02
-3.6670920000e-02, -2.6868589455e-02
-3.6665200000e-02, -2.4425990414e-02
-3.6659480000e-02, -2.6868589455e-02
-3.6653760000e-02, -2.4425990414e-02
-3.6648040000e-02, -2.6868589455e-02
-3.6642320000e-02, -2.6868589455e-02
-3.6636600000e-02, -2.6868589455e-02
-3.6630880000e-02, -2.4425990414e-02
-3.6625160000e-02, -2.4425990414e-02
-3.6619440000e-02, -2.4425990414e-02
-3.6613720000e-02, -2.4425990414e-02
-3.6608000000e-02, -2.4425990414e-02
-3.6602280000e-02, -2.4425990414e-02
-3.6596560000e-02, -2.6868589455e-02
-3.6590840000e-02, -2.6868589455e-02
-3.6585120000e-02, -2.4425990414e-02
-3.6579400000e-02, -2.1983391372e-02
-3.6573680000e-02, -2.6868589455e-02
-3.6567960000e-02, -2.6868589455e-02
-3.6562240000e-02, -2.6868589455e-02
-3.6556520000e-02, -2.6868589455e-02
-3.6550800000e-02, -2.6868589455e-02
-3.6545080000e-02, -2.6868589455e-02
-3.6539360000e-02, -2.9311188497e-02
-3.6533640000e-02, -2.4425990414e-02
-3.6527920000e-02, -2.6868589455e-02
-3.6522200000e-02, -2.6868589455e-02
-3.6516480000e-02, -2.6868589455e-02
-3.6510760000e-02, -2.4425990414e-02
-3.6505040000e-02, -2.4425990414e-02
-3.6499320000e-02, -2.4425990414e-02
-3.6493600000e-02, -2.6868589455e-02
-3.6487880000e-02, -2.4425990414e-02
-3.6482160000e-02, -2.4425990414e-02
-3.6476440000e-02, -2.4425990414e-02
-3.6470720000e-02, -2.6868589455e-02
-3.6465000000e-02, -2.6868589455e-02
-3.6459280000e-02, -2.6868589455e-02
-3.6453560000e-02, -2.6868589455e-02
-3.6447840000e-02, -2.4425990414e-02
