% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:35:18 +0000
% Time (s), Channel A (V)
-2.5819808000e-02, 6.1064976035e-02
-2.5815720000e-02, 6.1064976035e-02
-2.5811632000e-02, 5.8622376993e-02
-2.5807544000e-02, 6.1064976035e-02
-2.5803456000e-02, 5.8622376993e-02
-2.5799368000e-02, 5.8622376993e-02
-2.5795280000e-02, 5.8622376993e-02
-2.5791192000e-02, 6.3507575076e-02
-2.5787104000e-02, 5.8622376993e-02
-2.5783016000e-02, 5.8622376993e-02
-2.5778928000e-02, 6.1064976035e-02
-2.5774840000e-02, 5.8622376993e-02
-2.5770752000e-02, 6.1064976035e-02
-2.5766664000e-02, 6.1064976035e-02
-2.5762576000e-02, 6.1064976035e-02
-2.5758488000e-02, 5.8622376993e-02
-2.5754400000e-02, 6.3507575076e-02
-2.5750312000e-02, 5.8622376993e-02
-2.5746224000e-02, 6.1064976035e-02
-2.5742136000e-02, 6.1064976035e-02
-2.5738048000e-02, 5.8622376993e-02
-2.5733960000e-02, 5.8622376993e-02
-2.5729872000e-02, 6.1064976035e-02
-2.5725784000e-02, 6.1064976035e-02
-2.5721696000e-02, 5.8622376993e-02
-2.5717608000e-02, 6.1064976035e-02
-2.5713520000e-02, 6.1064976035e-02
-2.5709432000e-02, 6.1064976035e-02
-2.5705344000e-02, 6.1064976035e-02
-2.5701256000e-02, 6.1064976035e-02
-2.5697168000e-02, 6.1064976035e-02
-2.5693080000e-02, 6.1064976035e-02
-2.5688992000e-02, 6.1064976035e-02
-2.5684904000e-02, 6.1064976035e-02
-2.5680816000e-02, 5.8622376993e-02
-2.5676728000e-02, 6.1064976035e-02
-2.5672640000e-02, 6.1064976035e-02
-2.5668552000e-02, 6.1064976035e-02
-2.5664464000e-02, 6.1064976035e-02
-2.5660376000e-02, 6.1064976035e-02
-2.5656288000e-02, 6.3507575076e-02
-2.5652200000e-02, 6.1064976035e-02
-2.5648112000e-02, 6.1064976035e-02
-2.5644024000e-02, 6.1064976035e-02
-2.5639936000e-02, 6.1064976035e-02
-2.5635848000e-02, 6.1064976035e-02
-2.5631760000e-02, 6.1064976035e-02
-2.5627672000e-02, 6.1064976035e-02
-2.5623584000e-02, 6.1064976035e-02
-2.5619496000e-02, 5.8622376993e-02
-2.5615408000e-02, 5.8622376993e-02
-2.5611320000e-02, 6.1064976035e-02
-2.5607232000e-02, 5.8622376993e-02
-2.5603144000e-02, 6.1064976035e-02
-2.5599056000e-02, 5.8622376993e-02
-2.5594968000e-02, 6.1064976035e-02
-2.5590880000e-02, 5.8622376993e-02
-2.5586792000e-02, 6.3507575076e-02
-2.5582704000e-02, 6.1064976035e-02
-2.5578616000e-02, 6.3507575076e-02
-2.5574528000e-02, 6.3507575076e-02
-2.5570440000e-02, 6.1064976035e-02
-2.5566352000e-02, 6.1064976035e-02
-2.5562264000e-02, 6.1064976035e-02
-2.5558176000e-02, 5.8622376993e-02
-2.5554088000e-02, 6.3507575076e-02
-2.5550000000e-02, 5.8622376993e-02
-2.5545912000e-02, 6.3507575076e-02
-2.5541824000e-02, 6.3507575076e-02
-2.5537736000e-02, 6.1064976035e-02
-2.5533648000e-02, 5.8622376993e-02
-2.5529560000e-02, 6.1064976035e-02
-2.5525472000e-02, 6.1064976035e-02
-2.5521384000e-02, 6.1064976035e-02
-2.5517296000e-02, 6.3507575076e-02
-2.5513208000e-02, 5.8622376993e-02
-2.5509120000e-02, 6.3507575076e-02
-2.5505032000e-02, 6.1064976035e-02
-2.5500944000e-02, 6.1064976035e-02
-2.5496856000e-02, 6.1064976035e-02
-2.5492768000e-02, 5.8622376993e-02
-2.5488680000e-02, 6.1064976035e-02
-2.5484592000e-02, 6.1064976035e-02
-2.5480504000e-02, 6.1064976035e-02
-2.5476416000e-02, 6.1064976035e-02
-2.5472328000e-02, 6.1064976035e-02
-2.5468240000e-02, 5.8622376993e-02
-2.5464152000e-02, 6.1064976035e-02
-2.5460064000e-02, 6.1064976035e-02
-2.5455976000e-02, 6.1064976035e-02
-2.5451888000e-02, 5.8622376993e-02
-2.5447800000e-02, 6.1064976035e-02
-2.5443712000e-02, 6.3507575076e-02
-2.5439624000e-02, 6.1064976035e-02
-2.5435536000e-02, 6.1064976035e-02
-2.5431448000e-02, 6.1064976035e-02
-2.5427360000e-02, 6.1064976035e-02
-2.5423272000e-02, 6.1064976035e-02
-2.5419184000e-02, 6.1064976035e-02
-2.5415096000e-02, 5.8622376993e-02
-2.5411008000e-02, 6.1064976035e-02
-2.5406920000e-02, 6.1064976035e-02
-2.5402832000e-02, 5.8622376993e-02
-2.5398744000e-02, 5.8622376993e-02
-2.5394656000e-02, 5.8622376993e-02
-2.5390568000e-02, 5.8622376993e-02
-2.5386480000e-02, 5.8622376993e-02
-2.5382392000e-02, 5.8622376993e-02
-2.5378304000e-02, 6.3507575076e-02
-2.5374216000e-02, 6.1064976035e-02
-2.5370128000e-02, 5.8622376993e-02
-2.5366040000e-02, 6.1064976035e-02
-2.5361952000e-02, 5.8622376993e-02
-2.5357864000e-02, 5.8622376993e-02
-2.5353776000e-02, 6.1064976035e-02
-2.5349688000e-02, 5.8622376993e-02
-2.5345600000e-02, 5.8622376993e-02
-2.5341512000e-02, 6.1064976035e-02
-2.5337424000e-02, 6.1064976035e-02
-2.5333336000e-02, 5.8622376993e-02
-2.5329248000e-02, 5.8622376993e-02
-2.5325160000e-02, 5.8622376993e-02
-2.5321072000e-02, 5.8622376993e-02
-2.5316984000e-02, 6.1064976035e-02
-2.5312896000e-02, 5.8622376993e-02
-2.5308808000e-02, 5.8622376993e-02
-2.5304720000e-02, 5.8622376993e-02
-2.5300632000e-02, 5.8622376993e-02
-2.5296544000e-02, 6.1064976035e-02
-2.5292456000e-02, 6.1064976035e-02
-2.5288368000e-02, 6.1064976035e-02
-2.5284280000e-02, 5.8622376993e-02
-2.5280192000e-02, 6.1064976035e-02
-2.5276104000e-02, 6.1064976035e-02
-2.5272016000e-02, 5.8622376993e-02
-2.5267928000e-02, 5.6179777952e-02
-2.5263840000e-02, 5.8622376993e-02
-2.5259752000e-02, 5.8622376993e-02
-2.5255664000e-02, 5.8622376993e-02
-2.5251576000e-02, 5.8622376993e-02
-2.5247488000e-02, 5.8622376993e-02
-2.5243400000e-02, 5.8622376993e-02
-2.5239312000e-02, 6.1064976035e-02
-2.5235224000e-02, 5.8622376993e-02
-2.5231136000e-02, 5.8622376993e-02
-2.5227048000e-02, 5.6179777952e-02
-2.5222960000e-02, 5.8622376993e-02
-2.5218872000e-02, 5.8622376993e-02
-2.5214784000e-02, 5.8622376993e-02
-2.5210696000e-02, 5.6179777952e-02
-2.5206608000e-02, 5.8622376993e-02
-2.5202520000e-02, 5.6179777952e-02
-2.5198432000e-02, 5.8622376993e-02
-2.5194344000e-02, 5.8622376993e-02
-2.5190256000e-02, 5.8622376993e-02
-2.5186168000e-02, 5.8622376993e-02
-2.5182080000e-02, 5.8622376993e-02
-2.5177992000e-02, 5.8622376993e-02
-2.5173904000e-02, 5.8622376993e-02
-2.5169816000e-02, 5.8622376993e-02
-2.5165728000e-02, 5.6179777952e-02
-2.5161640000e-02, 5.8622376993e-02
-2.5157552000e-02, 5.6179777952e-02
-2.5153464000e-02, 5.8622376993e-02
-2.5149376000e-02, 5.6179777952e-02
-2.5145288000e-02, 5.8622376993e-02
-2.5141200000e-02, 5.6179777952e-02
-2.5137112000e-02, 5.6179777952e-02
-2.5133024000e-02, 5.6179777952e-02
-2.5128936000e-02, 5.6179777952e-02
-2.5124848000e-02, 5.8622376993e-02
-2.5120760000e-02, 5.6179777952e-02
-2.5116672000e-02, 5.6179777952e-02
-2.5112584000e-02, 5.8622376993e-02
-2.5108496000e-02, 5.6179777952e-02
-2.5104408000e-02, 5.6179777952e-02
-2.5100320000e-02, 5.6179777952e-02
-2.5096232000e-02, 5.8622376993e-02
-2.5092144000e-02, 5.6179777952e-02
-2.5088056000e-02, 5.3737178911e-02
-2.5083968000e-02, 5.6179777952e-02
-2.5079880000e-02, 5.6179777952e-02
-2.5075792000e-02, 5.6179777952e-02
-2.5071704000e-02, 5.6179777952e-02
-2.5067616000e-02, 5.6179777952e-02
-2.5063528000e-02, 5.6179777952e-02
-2.5059440000e-02, 5.6179777952e-02
-2.5055352000e-02, 5.6179777952e-02
-2.5051264000e-02, 5.8622376993e-02
-2.5047176000e-02, 5.6179777952e-02
-2.5043088000e-02, 5.6179777952e-02
-2.5039000000e-02, 5.6179777952e-02
-2.5034912000e-02, 5.6179777952e-02
-2.5030824000e-02, 5.6179777952e-02
-2.5026736000e-02, 5.6179777952e-02
-2.5022648000e-02, 5.6179777952e-02
-2.5018560000e-02, 5.8622376993e-02
-2.5014472000e-02, 5.3737178911e-02
-2.5010384000e-02, 5.6179777952e-02
-2.5006296000e-02, 5.6179777952e-02
-2.5002208000e-02, 5.6179777952e-02
-2.4998120000e-02, 5.3737178911e-02
-2.4994032000e-02, 5.3737178911e-02
-2.4989944000e-02, 5.3737178911e-02
-2.4985856000e-02, 5.3737178911e-02
-2.4981768000e-02, 5.6179777952e-02
-2.4977680000e-02, 5.3737178911e-02
-2.4973592000e-02, 5.6179777952e-02
-2.4969504000e-02, 5.3737178911e-02
-2.4965416000e-02, 5.3737178911e-02
-2.4961328000e-02, 5.3737178911e-02
-2.4957240000e-02, 5.3737178911e-02
-2.4953152000e-02, 5.3737178911e-02
-2.4949064000e-02, 5.3737178911e-02
-2.4944976000e-02, 5.6179777952e-02
-2.4940888000e-02, 5.6179777952e-02
-2.4936800000e-02, 5.3737178911e-02
-2.4932712000e-02, 5.3737178911e-02
-2.4928624000e-02, 5.6179777952e-02
-2.4924536000e-02, 5.6179777952e-02
-2.4920448000e-02, 5.3737178911e-02
-2.4916360000e-02, 5.3737178911e-02
-2.4912272000e-02, 5.1294579869e-02
-2.4908184000e-02, 5.3737178911e-02
-2.4904096000e-02, 5.3737178911e-02
-2.4900008000e-02, 5.6179777952e-02
-2.4895920000e-02, 5.3737178911e-02
-2.4891832000e-02, 5.3737178911e-02
-2.4887744000e-02, 5.1294579869e-02
-2.4883656000e-02, 5.3737178911e-02
-2.4879568000e-02, 5.3737178911e-02
-2.4875480000e-02, 5.6179777952e-02
-2.4871392000e-02, 5.3737178911e-02
-2.4867304000e-02, 5.3737178911e-02
-2.4863216000e-02, 5.3737178911e-02
-2.4859128000e-02, 5.1294579869e-02
-2.4855040000e-02, 5.1294579869e-02
-2.4850952000e-02, 5.3737178911e-02
-2.4846864000e-02, 5.3737178911e-02
-2.4842776000e-02, 5.6179777952e-02
-2.4838688000e-02, 5.1294579869e-02
-2.4834600000e-02, 5.3737178911e-02
-2.4830512000e-02, 5.1294579869e-02
