% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:36:35 +0000
% Time (s), Channel A (Input 1) (V)
9.279760000000e-03, -3.663899e-02
9.328816000000e-03, -3.786029e-02
9.377872000000e-03, -3.663899e-02
9.426928000000e-03, -3.908158e-02
9.475984000000e-03, -4.152418e-02
9.525040000000e-03, -4.152418e-02
9.574096000000e-03, -4.152418e-02
9.623152000000e-03, -4.152418e-02
9.672208000000e-03, -4.396678e-02
9.721264000000e-03, -4.274548e-02
9.770320000000e-03, -4.518808e-02
9.819376000000e-03, -4.518808e-02
9.868432000000e-03, -4.518808e-02
9.917488000000e-03, -4.518808e-02
9.966544000000e-03, -4.640938e-02
1.001560000000e-02, -4.640938e-02
1.006465600000e-02, -4.763068e-02
1.011371200000e-02, -4.763068e-02
1.016276800000e-02, -4.640938e-02
1.021182400000e-02, -4.763068e-02
1.026088000000e-02, -4.763068e-02
1.030993600000e-02, -4.640938e-02
1.035899200000e-02, -4.763068e-02
1.040804800000e-02, -4.763068e-02
1.045710400000e-02, -4.763068e-02
1.050616000000e-02, -4.885198e-02
1.055521600000e-02, -5.007328e-02
1.060427200000e-02, -5.007328e-02
1.065332800000e-02, -5.129458e-02
1.070238400000e-02, -5.007328e-02
1.075144000000e-02, -5.129458e-02
1.080049600000e-02, -5.007328e-02
1.084955200000e-02, -5.251588e-02
1.089860800000e-02, -5.251588e-02
1.094766400000e-02, -5.129458e-02
1.099672000000e-02, -5.373718e-02
1.104577600000e-02, -5.373718e-02
1.109483200000e-02, -5.373718e-02
1.114388800000e-02, -5.373718e-02
1.119294400000e-02, -5.373718e-02
1.124200000000e-02, -5.373718e-02
1.129105600000e-02, -5.495848e-02
1.134011200000e-02, -5.373718e-02
1.138916800000e-02, -5.373718e-02
1.143822400000e-02, -5.373718e-02
1.148728000000e-02, -5.495848e-02
1.153633600000e-02, -5.373718e-02
1.158539200000e-02, -5.495848e-02
1.163444800000e-02, -5.373718e-02
1.168350400000e-02, -5.495848e-02
1.173256000000e-02, -5.495848e-02
1.178161600000e-02, -5.495848e-02
1.183067200000e-02, -5.617978e-02
1.187972800000e-02, -5.495848e-02
1.192878400000e-02, -5.495848e-02
1.197784000000e-02, -5.617978e-02
1.202689600000e-02, -5.617978e-02
1.207595200000e-02, -5.495848e-02
1.212500800000e-02, -5.495848e-02
1.217406400000e-02, -5.617978e-02
1.222312000000e-02, -5.617978e-02
1.227217600000e-02, -5.495848e-02
